JJJJ MM DD HH MM T2m T30m TF2m TF30m V DIR N GLOB DIFF SON P
2018 12 1 1 48 5.14 5.04 5.06 5.04 4.17 263.0 0.000 0.00 0.00 0.00 957.0
2018 12 1 1 49 5.14 5.05 5.06 5.05 3.51 260.0 0.000 0.00 0.00 0.00 957.0
2018 12 1 1 50 5.13 5.05 5.04 5.05 2.79 262.0 0.000 0.00 0.00 0.00 957.0
2018 12 1 1 51 5.13 5.05 5.04 5.05 3.55 262.0 0.000 0.00 0.00 0.00 957.0
2018 12 1 1 52 5.13 5.05 5.04 5.05 2.57 253.0 0.000 0.00 0.00 0.00 957.0
2018 12 1 1 53 5.12 5.05 5.04 5.05 2.13 256.0 0.000 0.00 0.00 0.00 957.0
2018 12 1 1 54 5.13 5.05 5.05 5.05 2.44 246.0 0.000 0.00 0.00 0.00 957.0
2018 12 1 1 55 5.12 5.05 5.06 5.05 2.61 257.0 0.000 0.00 0.00 0.00 957.0
2018 12 1 1 56 5.15 5.06 5.09 5.06 2.43 242.0 0.000 0.00 0.00 0.00 957.0
2018 12 1 1 57 5.17 5.10 5.10 5.10 2.18 254.0 0.000 0.00 0.00 0.00 957.1
2018 12 1 1 58 5.16 5.10 5.09 5.10 3.22 256.0 0.000 0.00 0.00 0.00 957.1
2018 12 1 1 59 5.15 5.10 5.07 5.10 3.32 267.0 0.000 0.00 0.00 0.00 957.1
2018 12 1 2 0 5.14 5.10 5.06 5.10 4.07 268.0 0.000 0.00 0.00 0.00 957.1
2018 12 1 2 1 5.15 5.09 5.08 5.09 3.54 263.0 0.000 0.00 0.00 0.00 957.1
2018 12 1 2 2 5.16 5.10 5.08 5.10 2.83 263.0 0.000 0.00 0.00 0.00 957.1
2018 12 1 2 3 5.15 5.10 5.06 5.10 3.22 259.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 2 4 5.16 5.10 5.08 5.10 3.32 262.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 2 5 5.15 5.09 5.07 5.09 2.88 259.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 2 6 5.15 5.08 5.06 5.08 2.77 253.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 2 7 5.16 5.07 5.08 5.07 3.16 265.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 2 8 5.16 5.06 5.09 5.06 3.05 264.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 2 9 5.15 5.05 5.08 5.05 2.99 266.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 2 10 5.14 5.04 5.07 5.04 2.96 247.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 2 11 5.15 5.05 5.09 5.05 2.65 255.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 2 12 5.15 5.04 5.09 5.04 1.82 269.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 2 13 5.14 5.03 5.08 5.03 2.79 266.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 2 14 5.12 5.03 5.08 5.03 2.73 256.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 2 15 5.11 5.03 5.07 5.03 3.44 262.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 2 16 5.11 5.03 5.07 5.03 3.16 266.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 2 17 5.13 5.04 5.09 5.04 3.21 272.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 2 18 5.14 5.05 5.10 5.05 2.80 252.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 2 19 5.15 5.06 5.11 5.06 2.49 273.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 2 20 5.15 5.06 5.10 5.06 2.26 259.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 2 21 5.12 5.07 5.08 5.07 2.45 257.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 2 22 5.13 5.09 5.09 5.09 2.86 256.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 2 23 5.14 5.09 5.11 5.09 3.70 272.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 2 24 5.16 5.10 5.13 5.10 3.45 269.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 2 25 5.18 5.10 5.13 5.10 3.92 270.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 2 26 5.19 5.11 5.14 5.11 3.38 260.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 2 27 5.19 5.11 5.13 5.11 2.71 263.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 2 28 5.19 5.12 5.12 5.12 2.59 257.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 2 29 5.20 5.13 5.12 5.13 2.81 262.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 2 30 5.20 5.14 5.14 5.14 3.21 262.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 2 31 5.20 5.18 5.12 5.18 1.99 253.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 2 32 5.19 5.18 5.11 5.18 2.82 257.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 2 33 5.20 5.17 5.13 5.17 3.41 249.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 2 34 5.21 5.17 5.15 5.17 2.80 266.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 2 35 5.22 5.17 5.15 5.17 2.77 247.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 2 36 5.22 5.17 5.15 5.17 2.64 239.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 2 37 5.23 5.17 5.16 5.17 2.28 254.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 2 38 5.23 5.18 5.16 5.18 1.48 257.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 2 39 5.23 5.19 5.16 5.19 1.47 256.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 2 40 5.25 5.18 5.19 5.18 2.54 239.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 2 41 5.26 5.18 5.19 5.18 2.64 240.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 2 42 5.24 5.18 5.18 5.18 2.13 253.0 0.000 0.00 0.00 0.00 957.3
